id,origin,normalize,predict
6022962,app+card+clean+community+contact+facebook+feed+list+message+music+news+post+profile+social+ui+video+web+website,contact+community+ui+social+message+mobile+feed+post+list+profile+video+news+music+card+simple+website,mobile+website+profile+music
5655689,app+beauty+buy+chanel+clean+concrete+ecommerce+flat+interface+ios+list+luxury+material+mockup+perfume+photography+store+ui,beauty+ecommerce+ui+chanel+buy+mobile+flat+interface+photography+material+mockup+ios+list+concrete+store+perfume+luxury+simple,mobile+ecommerce
6884877,animation+bubble+dashboard+email+email address+input+input field+invite+list+selectize+software+tags+transition+ui+user+user interface+ux,invite+email+ui+tags+transition+bubble+input+software+email address+selectize+ux+user+dashboard+list+input field+animation,mobile+dashboard
5756701,analytics+app+charts+dashboard+data+design+flat+info+infographics+interface+ios+list+statistics+stats+ui+visualization,statistics+infographics+analytics+ui+data+mobile+flat+visualization+interface+stats+dashboard+info+list+design+charts+ios,mobile+dashboard
6529986,app+dashboard+details+gallery+game+list+media+movie+music+navigation+player+price+profile+search+shop+store+tv show+ui+video+web,movie+ui+dashboard+list+website+mobile+store+search+navigation+details+shop+player+profile+game+price+tv show+gallery+video+music+media,mobile+website+dashboard+profile+game+music
5241562,banner+hiwow+landing+layout+list+live+menu+music+profile+streaming+video+web+youtube,landing+hiwow+menu+youtube+layout+list+live+streaming+profile+video+music+banner+website,mobile+website+profile+music
5700444,animation website preloader+banner content list+blockchain crypto landing+flat file illustrations+security icon profile+upload notes footer+wallet currency storage,blockchain crypto landing+wallet currency storage+animation website preloader+upload notes footer+flat file illustrations+banner content list+security icon profile,mobile+blue
6781961,app+application+clean+design+details+history+list+management+menu+mobile+navigation+order+page+status+steps+tabs+ui+ux+washing+widelab,ui+status+steps+list+design+website+menu+mobile+ux+tabs+washing+management+navigation+details+widelab+history+order+page+simple,mobile+website
5888469,card+card list+clean+jira+pipeline+project management+project management tool+tables+task+task app+task flow+task list+task management+task manager+ticket+ticket bord+ticket list+trello+trello bord+webapp,project management tool+task flow+card list+webapp+task list+trello bord+project management+ticket+trello+task management+task app+task manager+jira+ticket bord+pipeline+tables+ticket list+task+card+simple,mobile+dashboard
4841953,app+button+cuberto+graphics+life+list+sketch+style+task+todo+ui+ux,todo+button+ui+mobile+ux+list+task+sketch+cuberto+life+style+graphics,mobile+checkout
3921087,book activity+booking+category+design+list+read+ui+ux,category+booking+ui+ux+book activity+list+design+read,mobile
6934779,app+application+chart+cms+dashboard+ecommerce+flat+graph+income+list+panel+platform+revenue+shop+stats+store+ui+user+ux+webapp,ui+webapp+revenue+platform+user+dashboard+list+mobile+ux+store+ecommerce+income+shop+graph+panel+cms+chart+flat+stats,mobile+chart+dashboard+ecommerce
5020742,app+card+cate+design+food+list+sketch+ui,ui+mobile+card+list+sketch+design+food+cate,mobile+food+green
3790134,app+dashboard+list+management+master+project+timeline+tool+web app,project+mobile+timeline+list+dashboard+master+tool+website+management,mobile+website+dashboard
4748028,check list+focus lab+life-saving+paper craft+to-do list,to-do list+check list+life-saving+paper craft+focus lab,mobile
6143372,app+clean+community+contact+dashboard+event+facebook+feed+list+profile+search+social+ui+web+website,contact+event+community+search+social+ui+mobile+feed+dashboard+list+profile+simple+website,mobile+website+dashboard+profile
