id,origin,normalize,predict
2332298,android+cards+design+itinerary+list+material+mobile+schedule+timeline+travel+ui+ux,list+material+travel+cards+timeline+design+android+itinerary+website+ui+schedule+mobile+ux,mobile+website+travel
1575527,app+holiday+ios+itinerary+list+mobile+smartphone+travel+ui,list+ios+smartphone+itinerary+website+ui+travel+mobile+holiday,mobile+website+travel
4383538,carousel+list view+map+map pin+mobile+road trip+travel+trip tracker+ui+ux,map pin+road trip+map+carousel+list view+website+ui+travel+mobile+trip tracker+ux,mobile+website+travel
3422894,cities+design+duotone+icons+list+mobile+play+sports+travel+ui+ux+visual,duotone+list+cities+play+design+icons+website+ui+travel+visual+mobile+sport+ux,mobile+website+sport+travel+music
2798238,content+ios+list+mobile+tabbar+travel+ui,list+travel+content+website+ui+tabbar+ios+mobile,mobile+website+travel
5419052,android+app+card+diamond+ecommerce+facets+filters+gold+heatmap+hotel+ios+iphone+list+loading+map+mobile+overlay+search+shop+travel,facets+list+filters+search+android+overlay+diamond+map+yellow+hotel+shop+travel+website+loading+heatmap+mobile+card+ecommerce+ios,mobile+website+travel+ecommerce+yellow
2105791,backpack+flat+gobelins+holidays+icons+list+login+map+match+tourism+travel+trip,list+map+travel+gobelins+holidays+signup+backpack+icons+flat+match,mobile+travel
6047743,activity+app+color+hotel+hotels+lodging+map+map marker+maps+mobile+phone+pin+price+price list+price range+price tag+travel+trip+trip planner,pin+price+map+price list+hotel+travel+price tag+price range+lodging+phone+activity+trip planner+website+color+maps+hotels+mobile+map marker,mobile+website+travel
1603170,app+card+hotel+hottel+iphone+list+mobile+travel,card+list+hotel+website+travel+mobile+hottel,mobile+website+travel
2085242,e-commerce+flat+hotel+list+mobile+mobile site+search+site+travel+ui,list+site+travel+hotel+ecommerce+search+website+ui+flat+mobile+mobile site,mobile+website+travel+ecommerce
2003567,action+android+info+ios+list+mobile+photo+places+tabs,list+info+places+android+website+photo+tabs+ios+action+mobile,mobile+website
2203802,action items+cards+clean+field service+list+locations+map+mobile+travel+ui+ux+workload,list+map+action items+cards+field service+locations+workload+simple+website+travel+ui+mobile+ux,mobile+website+travel
1243307,choose+flat+friends+invite+ios7+list+mobile+search+travel+ui+ux,list+ios7+choose+travel+friends+flat+search+website+ui+invite+mobile+ux,mobile+website+travel
5857933,dashboad+mobile app+travel app+ui+user inteface+ux+ux-ui+vector+web app design+website,vector+web app design+dashboad+user inteface+ui+website+travel+mobile+ux,mobile+website+travel
3651570,bucket list+mobile app+mobile design+travel+travel app+travlst+ui+ux+wanderlust,travlst+wanderlust+ui+travel+website+bucket list+mobile+ux,mobile+website+travel
3758511,android+app+bus+dashboard+interface+list+mobile+result+search+travel+ui+ux,list+ux+result+search+android+interface+bus+website+travel+ui+mobile+dashboard,mobile+website+dashboard+travel
2132810,backpack+flat+gobelins+holidays+list+login+mobile+profil+text fields+tourism+travel+trip,list+text fields+travel+gobelins+holidays+signup+backpack+profil+website+flat+mobile,mobile+website+travel
2314079,flights+travel,travel+flights,mobile+travel
5533461,animation+app+booking+button+card+filters+free+hotel+jolly+list+listing+maps+mobile+order+search+tour+travel+typography+ui+ux,list+filters+booking+search+listing+free+hotel+typography+jolly+travel+website+maps+ui+mobile+card+button+order+tour+animation+ux,mobile+website+travel
2256414,application+backpack+book+gobelins+guide+list+paris+tourism+travel+uber+uberlike,uber+list+paris+gobelins+backpack+travel+guide+mobile+book+uberlike,mobile+travel
